3  swift                    diagAvailability(swift::TypeChecker&, swift::ValueDecl const*, swift::SourceRange, swift::DeclContext const*) + 49
4  swift                    swift::ArchetypeBuilder::resolveArchetype(swift::Type) + 25
5  swift                    swift::ArchetypeBuilder::addSameTypeRequirement(swift::Type, swift::SourceLoc, swift::Type) + 34
6  swift                    swift::ArchetypeBuilder::addRequirement(swift::RequirementRepr const&) + 56
7  swift                    checkGenericParameters(swift::TypeChecker&, swift::ArchetypeBuilder*, swift::GenericParamList*, swift::DeclContext*, swift::GenericTypeResolver&) + 812
8  swift                    swift::TypeChecker::validateGenericSignature(swift::GenericParamList*, swift::DeclContext*, std::__1::function<bool (swift::ArchetypeBuilder&)>, bool&) + 97
9  swift                    swift::TypeChecker::validateGenericTypeSignature(swift::NominalTypeDecl*) + 69
10 swift                    swift::TypeChecker::validateDecl(swift::ValueDecl*, bool) + 238
11 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 1857
12 swift                    swift::TypeChecker::typeCheckDecl(swift::Decl*, bool) + 123
13 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 473
14 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 912
15 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 353
16 swift                    swift::TypeChecker::typeCheckTopLevelCodeDecl(swift::TopLevelCodeDecl*) + 136
17 swift                    swift::performTypeChecking(swift::SourceFile&, swift::TopLevelContext&, unsigned int) + 1496
18 swift                    swift::CompilerInstance::performSema() + 2060
19 swift                    frontend_main(llvm::ArrayRef<char const*>, char const*, void*) + 2008
20 swift                    main + 1677
