4  swift                    swift::TypeBase::getCanonicalType() + 426
5  swift                    swift::TypeBase::getCanonicalType() + 236
6  swift                    swift::TypeBase::getCanonicalType() + 171
7  swift                    swift::Type::transform(std::__1::function<swift::Type (swift::Type)> const&) const + 324
8  swift                    swift::Type::transform(std::__1::function<swift::Type (swift::Type)> const&) const + 424
9  swift                    swift::TypeBase::getSuperclass(swift::LazyResolver*) + 783
10 swift                    swift::TypeChecker::defineDefaultConstructor(swift::NominalTypeDecl*) + 108
11 swift                    swift::TypeChecker::addImplicitConstructors(swift::NominalTypeDecl*, llvm::SmallVectorImpl<swift::Decl*>&) + 1067
12 swift                    swift::TypeChecker::checkInheritanceClause(swift::Decl*, swift::DeclContext*, swift::GenericTypeResolver*) + 4858
13 swift                    swift::TypeChecker::validateDecl(swift::ValueDecl*, bool) + 1296
14 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 1483
15 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 6356
16 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 6356
17 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 1848
18 swift                    swift::TypeChecker::typeCheckDecl(swift::Decl*, bool) + 124
19 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 429
20 swift                    swift::TypeChecker::typeCheckFunctionBodyUntil(swift::FuncDecl*, swift::SourceLoc) + 371
21 swift                    swift::TypeChecker::typeCheckAbstractFunctionBody(swift::AbstractFunctionDecl*) + 150
22 swift                    typeCheckFunctionsAndExternalDecls(swift::TypeChecker&) + 227
23 swift                    swift::performTypeChecking(swift::SourceFile&, swift::TopLevelContext&, swift::OptionSet<swift::TypeCheckingFlags, unsigned int>, unsigned int) + 1493
24 swift                    swift::CompilerInstance::performSema() + 2428
25 swift                    frontend_main(llvm::ArrayRef<char const*>, char const*, void*) + 2148
26 swift                    main + 1814
