4  swift                    swift::TypeBase::getCanonicalType() + 426
5  swift                    swift::TypeBase::getCanonicalType() + 171
6  swift                    swift::Type::transform(std::__1::function<swift::Type (swift::Type)> const&) const + 324
7  swift                    swift::Type::transform(std::__1::function<swift::Type (swift::Type)> const&) const + 275
8  swift                    swift::TypeBase::getSuperclass(swift::LazyResolver*) + 783
9  swift                    swift::TypeChecker::defineDefaultConstructor(swift::NominalTypeDecl*) + 108
10 swift                    swift::TypeChecker::addImplicitConstructors(swift::NominalTypeDecl*, llvm::SmallVectorImpl<swift::Decl*>&) + 717
11 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 1893
12 swift                    swift::ASTVisitor<(anonymous namespace)::DeclChecker, void, void, void, void, void, void>::visit(swift::Decl*) + 1976
13 swift                    swift::TypeChecker::typeCheckDecl(swift::Decl*, bool) + 123
14 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 429
15 swift                    swift::TypeChecker::typeCheckFunctionBodyUntil(swift::FuncDecl*, swift::SourceLoc) + 375
16 swift                    swift::TypeChecker::typeCheckAbstractFunctionBody(swift::AbstractFunctionDecl*) + 150
17 swift                    typeCheckFunctionsAndExternalDecls(swift::TypeChecker&) + 227
18 swift                    swift::performTypeChecking(swift::SourceFile&, swift::TopLevelContext&, swift::OptionSet<swift::TypeCheckingFlags, unsigned int>, unsigned int) + 1493
19 swift                    swift::CompilerInstance::performSema() + 2108
20 swift                    frontend_main(llvm::ArrayRef<char const*>, char const*, void*) + 2149
21 swift                    main + 1814
