3  swift                    swift::ArchetypeBuilder::PotentialArchetype::getDependentType(swift::ArchetypeBuilder&, bool) + 247
6  swift                    swift::ValueDecl::setType(swift::Type) + 102
7  swift                    swift::TypeChecker::validateGenericFuncSignature(swift::AbstractFunctionDecl*) + 126
8  swift                    (anonymous namespace)::DeclChecker::visitFuncDecl(swift::FuncDecl*) + 1828
9  swift                    (anonymous namespace)::DeclChecker::visit(swift::Decl*) + 731
10 swift                    (anonymous namespace)::DeclChecker::visitEnumDecl(swift::EnumDecl*) + 1211
11 swift                    (anonymous namespace)::DeclChecker::visit(swift::Decl*) + 619
12 swift                    swift::TypeChecker::typeCheckDecl(swift::Decl*, bool) + 152
13 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 420
14 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 952
15 swift                    swift::ASTVisitor<(anonymous namespace)::StmtChecker, void, swift::Stmt*, void, void, void, void>::visit(swift::Stmt*) + 313
16 swift                    swift::TypeChecker::typeCheckTopLevelCodeDecl(swift::TopLevelCodeDecl*) + 140
17 swift                    swift::performTypeChecking(swift::SourceFile&, swift::TopLevelContext&, swift::OptionSet<swift::TypeCheckingFlags, unsigned int>, unsigned int) + 1484
18 swift                    swift::CompilerInstance::performSema() + 4149
19 swift                    performCompile(swift::CompilerInstance&, swift::CompilerInvocation&, llvm::ArrayRef<char const*>, int&) + 725
20 swift                    frontend_main(llvm::ArrayRef<char const*>, char const*, void*) + 2627
21 swift                    main + 2015
